session_test_id,name,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
model_comparison_v1,7,audio_item_8,reference,100,34560,
model_comparison_v1,7,audio_item_8,Opt_256,12,34560,
model_comparison_v1,7,audio_item_8,Opt_64_dropout,29,34560,
model_comparison_v1,8,audio_item_1,Opt_128,59,123423,
model_comparison_v1,8,audio_item_1,Opt_32,34,123423,
model_comparison_v1,8,audio_item_1,Opt_256,29,123423,
model_comparison_v1,8,audio_item_1,Opt_64_dropout,45,123423,
model_comparison_v1,8,audio_item_1,reference,100,123423,
model_comparison_v1,8,audio_item_2,Opt_128,40,130878,
model_comparison_v1,8,audio_item_2,Opt_256,8,130878,
model_comparison_v1,8,audio_item_2,reference,100,130878,
model_comparison_v1,8,audio_item_2,Opt_32,23,130878,
model_comparison_v1,8,audio_item_2,Opt_64_dropout,47,130878,
model_comparison_v1,8,audio_item_3,reference,100,108276,
model_comparison_v1,8,audio_item_3,Opt_32,35,108276,
model_comparison_v1,8,audio_item_3,Opt_128,52,108276,
model_comparison_v1,8,audio_item_3,Opt_64_dropout,20,108276,
model_comparison_v1,8,audio_item_3,Opt_256,42,108276,
model_comparison_v1,8,audio_item_4,Opt_64_dropout,60,86502,
model_comparison_v1,8,audio_item_4,Opt_32,55,86502,
model_comparison_v1,8,audio_item_4,reference,100,86502,
model_comparison_v1,8,audio_item_4,Opt_128,28,86502,
model_comparison_v1,8,audio_item_4,Opt_256,21,86502,
model_comparison_v1,8,audio_item_5,Opt_128,52,109548,
model_comparison_v1,8,audio_item_5,reference,100,109548,
model_comparison_v1,8,audio_item_5,Opt_256,48,109548,
model_comparison_v1,8,audio_item_5,Opt_64_dropout,37,109548,
model_comparison_v1,8,audio_item_5,Opt_32,37,109548,
model_comparison_v1,8,audio_item_6,Opt_32,10,75537,
model_comparison_v1,8,audio_item_6,Opt_256,23,75537,
model_comparison_v1,8,audio_item_6,Opt_64_dropout,22,75537,
model_comparison_v1,8,audio_item_6,Opt_128,51,75537,
model_comparison_v1,8,audio_item_6,reference,100,75537,
model_comparison_v1,8,audio_item_7,Opt_32,36,129645,
model_comparison_v1,8,audio_item_7,Opt_256,23,129645,
model_comparison_v1,8,audio_item_7,reference,95,129645,
model_comparison_v1,8,audio_item_7,Opt_64_dropout,27,129645,
model_comparison_v1,8,audio_item_7,Opt_128,37,129645,
model_comparison_v1,8,audio_item_8,Opt_64_dropout,45,135426,
model_comparison_v1,8,audio_item_8,Opt_128,84,135426,
model_comparison_v1,8,audio_item_8,Opt_256,39,135426,
model_comparison_v1,8,audio_item_8,reference,93,135426,
model_comparison_v1,8,audio_item_8,Opt_32,39,135426,
model_comparison_v1,9,audio_item_1,Opt_128,21,112531,
model_comparison_v1,9,audio_item_1,Opt_256,47,112531,
model_comparison_v1,9,audio_item_1,reference,100,112531,
model_comparison_v1,9,audio_item_1,Opt_64_dropout,51,112531,
model_comparison_v1,9,audio_item_1,Opt_32,47,112531,
model_comparison_v1,9,audio_item_2,Opt_256,36,145088,
model_comparison_v1,9,audio_item_2,reference,100,145088,
model_comparison_v1,9,audio_item_2,Opt_32,34,145088,
model_comparison_v1,9,audio_item_2,Opt_64_dropout,25,145088,
model_comparison_v1,9,audio_item_2,Opt_128,30,145088,
model_comparison_v1,9,audio_item_3,Opt_128,49,90168,
model_comparison_v1,9,audio_item_3,Opt_64_dropout,23,90168,
model_comparison_v1,9,audio_item_3,reference,93,90168,
model_comparison_v1,9,audio_item_3,Opt_32,28,90168,
model_comparison_v1,9,audio_item_3,Opt_256,18,90168,
model_comparison_v1,9,audio_item_4,reference,94,129570,
model_comparison_v1,9,audio_item_4,Opt_64_dropout,12,129570,
model_comparison_v1,9,audio_item_4,Opt_256,47,129570,
model_comparison_v1,9,audio_item_4,Opt_32,16,129570,
model_comparison_v1,9,audio_item_4,Opt_128,30,129570,
model_comparison_v1,9,audio_item_5,reference,94,97554,
model_comparison_v1,9,audio_item_5,Opt_128,47,97554,
model_comparison_v1,9,audio_item_5,Opt_32,37,97554,
model_comparison_v1,9,audio_item_5,Opt_256,24,97554,
model_comparison_v1,9,audio_item_5,Opt_64_dropout,41,97554,
model_comparison_v1,9,audio_item_6,reference,100,74194,
model_comparison_v1,9,audio_item_6,Opt_64_dropout,33,74194,
model_comparison_v1,9,audio_item_6,Opt_256,49,74194,
model_comparison_v1,9,audio_item_6,Opt_128,5,74194,
model_comparison_v1,9,audio_item_6,Opt_32,46,74194,
model_comparison_v1,9,audio_item_7,Opt_256,84,126762,
model_comparison_v1,9,audio_item_7,Opt_32,68,126762,
model_comparison_v1,9,audio_item_7,Opt_128,61,126762,
model_comparison_v1,9,audio_item_7,reference,100,126762,
model_comparison_v1,9,audio_item_7,Opt_64_dropout,40,126762,
model_comparison_v1,9,audio_item_8,Opt_256,46,58599,
model_comparison_v1,9,audio_item_8,reference,100,58599,
model_comparison_v1,9,audio_item_8,Opt_32,38,58599,
model_comparison_v1,9,audio_item_8,Opt_64_dropout,47,58599,
model_comparison_v1,9,audio_item_8,Opt_128,53,58599,
model_comparison_v1,10,audio_item_1,Opt_64_dropout,45,70208,
model_comparison_v1,10,audio_item_1,Opt_32,15,70208,
